name,state,city,country,pincode,phone,district,address,type,
Dr. Ram Manohar Lohiya Mahavidyalaya,Uttar Pradesh,,India,209302,,Kanpur Dehat,"Juriya (Jalihapur), Jhinjhak, Dist.
Kanpur Dehat ?
",,
Ram Teerth Chaudhary Mahavidyalaya,Uttar Pradesh,,India,271604,,Balrampur,"Vill. Imilia
Banghusra, Post. Rehra Mafi (Utraula), Dist. Balrampur ? 271
604",Government,
Maa Saraswati Mahavidyalaya,Uttar Pradesh,,India,222137,,Jaunpur,"Damodara, Jaunpur ? 222 137",Private,
Sant Keenaram Mahila Degree College,Uttar Pradesh,,India,231216,,Sonbhadra,"Kaimoor Peeth,
Robertsganj, Sonebhadra ? 231
216",Private,
Ramadheen Singh Girls Degree College,Uttar Pradesh,,India,226020,,Lucknow,"Babuganj, Lucknow
? 226 020",Government,
Sonelal Memorial Mahavidyalaya,Uttar Pradesh,,India,241305,,Hardoi,"Subhankhera, Hardoi Dist. ? ",Private,
Bhagwant Singh Institute of Professional Studies,Uttar Pradesh,,India,244601,,Moradabad,"Thakurdwara, Moradabad ? 244
601",Private,
Gramodhar Mahavidyalaya,Uttar Pradesh,,India,202133,,Aligarh,"Nagla Parsi, Dadon, Aligarh ? 202 133",Government,
Maa R.K. Devi Mahavidyalaya,Uttar Pradesh,,India,206247,,Auraiya,"Tikampur
(Phaphund), Auraiya ? 206 247",Private,
Bindeshwari Mahavidyalaya,Uttar Pradesh,,India,224122,,Ambedkar Nagar,"Vill. Bardha Bhiura,
Dostpur Road, Akbarpur, Dist. Ambedkar Nagar ? 224 122",,
Gautam Buddha Degree College,Uttar Pradesh,,India,226002,,Lucknow,"Gauri Road, Bijnaur, Lucknow ?
226 002",,
Bhagwan Devi Maiku Lal Mahavidyalaya,Uttar Pradesh,,India,241001,,Hardoi,"Baljeetpurwa, Gautra, Hardoi ?
241 001",,
Ramdev Degree College,Uttar Pradesh,,India,221310,,Varanasi,"Jungiganj, District Santravi Das Nagar",Government,
Rashtriya Degree College,Uttar Pradesh,,India,222001,,Jaunpur,"Jamuhai, District Jaunpur",Government,
S.D.J. P.G. College,Uttar Pradesh,,India,276128,,Azamgarh,"Chandeshar, District Azamgarh",Private,
Sahkari PG College,Uttar Pradesh,,India,222139,,Jaunpur,"Mihrawan, District Jaunpur",Private,
